product_img,season,brand,product_name,price,estimated_delivery,highlights,composition,washing_instructions
https://cdn-images.farfetch-contents.com/16/07/19/45/16071945_31303830_1000.jpg, ,Maison Margiela,Replica low-top sneakers,,,"White Made from leather Branded footbeds Rubber soles Lace-up fastenings Logo patch tongues Round toes
Crafted in Italy ","Outer: Calf Leather 100%

Lining: Cotton 100%

Sole: Rubber 100%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/27/47/28/01/27472801_57314027_1000.jpg, ,FEAR OF GOD ESSENTIALS,straight-leg jeans   ,,,light blue button fly fastening classic five pockets logo patch to the rear ,Cotton 100%,Hand Wash
https://cdn-images.farfetch-contents.com/27/47/65/27/27476527_57314075_1000.jpg,New Season,Golden Goose,Worn-White T-shirt,,,white logo print to the front crew neck short sleeves ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/24/21/16/49/24211649_54305503_1000.jpg, ,Golden Goose,crew-neck cotton T-shirt ,,,white cotton lightweight jersey crew neck short sleeves star stud detailing straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/83/52/71/27835271_57522084_1000.jpg,New Season,Golden Goose,slogan-print T-shirt,,,white crew neck short sleeves straight hem ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/27/40/36/07/27403607_57350241_1000.jpg,New Season,Golden Goose,logo-print cotton T-shirt,,,grape purple crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/59/07/30/27590730_57409946_1000.jpg,New Season,Iceberg,logo-embroidered T-shirt,,,white crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/28/58/18/29285818_58498719_1000.jpg,New Season,Isaac Sellam Experience,Nouveau T-shirt,,,white logo plaque crew neck short sleeves ,Body: Organic Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/72/28/87/29722887_58979489_1000.jpg,New Season,Kired,cotton T-shirt,,,white crew neck short sleeves  ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/92/98/77/27929877_57672169_1000.jpg,New Season,CAFÉ KITSUNÉ,Barista Fox Patch Relaxed T-shirt,,,white crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/44/30/74/29443074_58884096_1000.jpg,New Season,RANRA,pointelle-knit top,,,white crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/23/16/90/87/23169087_53433251_1000.jpg, ,Random Identities,printed short-sleeve T-shirt ,,,white cotton geometric print appliqué detail crew neck short sleeves straight hem ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/28/49/69/93/28496993_58796304_1000.jpg,New Season,FRAME,cotton T-shirt,,,white crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/62/59/54/29625954_58826849_1000.jpg,New Season,Altea,Lewis T-shirt,,,white crew neck short sleeves ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/88/55/66/29885566_59028829_1000.jpg,New Season,ARTE,plaid jersey,,,midnight blue polo collar short sleeves straight hem ,"Cotton 89%, Polyester 11%",Machine Wash
https://cdn-images.farfetch-contents.com/29/88/25/92/29882592_58964658_1000.jpg,New Season,Myths,pleated-front trousers,,,navy blue front pleats button fastening side pockets rear welt pockets tailored design ,Fabric 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/87/72/85/29877285_59036349_1000.jpg,New Season,Homme Plissé Issey Miyake,Release T-shirt,,,grey crew neck short sleeves straight hem  ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/85/07/85/29850785_59019244_1000.jpg,New Season,Peacemaker Oamc,printed T-shirt,,,white logo print to the rear round neck double sleeves straight hem ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/98/45/63/29984563_59008609_1000.jpg,New Season,Zegna,wool jacket ,,,sand beige front zip fastening two side slit pockets classic collar long sleeves ,"Outer: Polyester 100%

Lining: Wool 100%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/98/37/43/29983743_59008430_1000.jpg,New Season,Zegna,wool jacket ,,,navy blue concealed front button fastening front flap pockets high neck long sleeves ,"Lining: Wool 100%, Polyester 100%

Outer: Polyester 100%",Dry Clean Only
https://cdn-images.farfetch-contents.com/29/98/15/94/29981594_59011139_1000.jpg,New Season,Stone Island,Compass-badge bermuda shorts,,,olive green elasticated waistband with internal drawstring two side inset pockets side cargo pocket two rear welt pockets ,"Cotton 98%, Elastane 2%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/97/30/13/29973013_59008631_1000.jpg,New Season,Stone Island,Compass-badge military jacket,,,khaki front zip fastening two side zip-fastening pockets touch-strap cuffs concealed hood ,"Outer: Polyurethane Resin 100%, Flax 100%

Lining: Polyamide 88%, Elastane 12%",Machine Wash
https://cdn-images.farfetch-contents.com/29/97/30/10/29973010_59008733_1000.jpg,New Season,Fear Of God,cotton track pants,,,navy blue elasticated drawstring waistband logo patch to the front two side inset pockets long length ,"Outer: Virgin Wool 100%

Lining: Cotton 100%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/95/56/59/29955659_59011722_1000.jpg,New Season,K-Way,Anthony jacket ,,,navy blue front zip fastening two side welt pockets drawstring hood ribbed cuffs and hem ,Fabric 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/95/56/57/29955657_59009983_1000.jpg,New Season,Boglioli,single-breasted suit ,,,dark green front button fastening jetted chest pocket two front patch pockets buttoned cuffs ,"Cotton 63%, Linen/Flax 35%, Elastane 2%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/95/47/95/29954795_59010830_1000.jpg,New Season,Cruna,Nizza T-shirt,,,midnight blue ribbed trim crew neck short sleeves ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/95/13/33/29951333_59011603_1000.jpg,New Season,LEMAIRE,belted trousers,,,sand beige concealed front fastening two side slit pockets two rear patch pockets seam detailing ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/94/94/81/29949481_58996936_1000.jpg,New Season,Zegna,linen Oasis jacket,,,brown front zip fastening high neck long sleeves slip pockets to the sides ,Linen/Flax 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/94/94/58/29949458_58996778_1000.jpg,New Season,Zegna,v-neck polo shirt,,,black front button placket short sleeves straight hem ,"Cotton 70%, Cashmere 30%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/94/54/06/29945406_59009263_1000.jpg,New Season,Willy Chavarria,America T-shirt,,,black graphic print to the front crew neck drop shoulder short sleeves ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/94/20/62/29942062_59009513_1000.jpg,New Season,Briglia 1949,Portobello trousers,,,dark grey concealed fly and button fastening two side slash pockets two rear welt pockets belt loops ,Virgin Wool 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/94/19/82/29941982_59008203_1000.jpg,New Season,Moncler,drawstring trousers,,,navy blue elasticated drawstring waistband two side slit pockets rear zip-fastening pocket ankle zips ,"Cotton 98%, Elastane 2%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/94/19/81/29941981_59008181_1000.jpg,New Season,Kiton,cotton t-shirt,,,baby blue polo collar short sleeves straight hem ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/94/14/66/29941466_59004440_1000.jpg,New Season,BOSS,crew-neck T-shirt,,,light beige crew neck short sleeves logo print to the front straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/57/43/34/29574334_58680279_1000.jpg,New Season,Stone Island,Compass-motif jacket ,,,navy blue concealed front zip fastening classic hood front flap pockets long sleeves ,"Cotton 97%, Spandex/Elastane 3%",Machine Wash
https://cdn-images.farfetch-contents.com/29/93/96/25/29939625_59009939_1000.jpg,New Season,Polo Ralph Lauren,Polo Pony swim shorts ,,,mustard yellow elasticated drawstring waistband two side slit pockets rear flap pocket Be mindful to try on swimwear over your own garments. ,"Outer: Polyester 90%, Elastane 10%

Lining: Polyester 90%, Elastane 10%",Machine Wash
https://cdn-images.farfetch-contents.com/29/92/81/80/29928180_59017794_1000.jpg,New Season,Undercover,logo-print T-shirt,,,black graphic print to the front crew neck short sleeves ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/92/81/74/29928174_59017508_1000.jpg,New Season,Undercover,graphic-print T-shirt,,,black crew neck short sleeves ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/92/81/38/29928138_59020072_1000.jpg,New Season,Homme Plissé Issey Miyake,Color Pleats shorts ,,,steel blue concealed front button fastening elasticated waistband with internal drawstring two side inset pockets plissé effect ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/92/81/14/29928114_59019663_1000.jpg,New Season,Homme Plissé Issey Miyake,Color Pleats jacket ,,,steel blue two-way zip fastening two side inset pockets high neck long sleeves ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/92/72/32/29927232_59019723_1000.jpg,New Season,Homme Plissé Issey Miyake,plissé coat ,,,navy blue front button fastening central rear vent two side inset pockets notched lapels ,"Lining: Polyester 100%

Outer: Polyester 100%",Machine Wash
https://cdn-images.farfetch-contents.com/29/92/72/29/29927229_59018516_1000.jpg,New Season,Homme Plissé Issey Miyake,Monthly Color April trousers ,,,raspberry pink concealed front button fastening elasticated waistband with internal drawstring two side inset pockets plissé effect ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/92/72/01/29927201_59020212_1000.jpg,New Season,Homme Plissé Issey Miyake,Monthly Color April top ,,,raspberry pink high neck sleeveless pleat detailing ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/92/71/97/29927197_59020684_1000.jpg,New Season,Homme Plissé Issey Miyake,Monthly Color April shirt ,,,raspberry pink front button fastening short side slits camp collar short sleeves ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/92/65/94/29926594_59005588_1000.jpg, ,Polo Ralph Lauren,cotton sweater,,,blue crew neck ribbed cuffs and hem long sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/92/58/47/29925847_59003008_1000.jpg, ,Polo Ralph Lauren,slim-cut cargo trousers,,,indigo blue concealed fly and button fastening two side flap pockets two side cargo pockets two rear flap pockets ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/92/57/03/29925703_59002947_1000.jpg, ,Polo Ralph Lauren,crew neck sweater,,,white chest patch pocket long sleeves straight hem ,"Cotton 88%, Polyester 12%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/92/37/00/29923700_58986213_1000.jpg, ,Barba,long sleeve shirt,,,black front button fastening classic collar buttoned cuffs ,"Cotton 78%, Polyamide 18%, Elastane 4%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/90/58/29919058_58996809_1000.jpg,New Season,Eleventy,wool suit,,,midnight blue double-breasted button fastening chest welt pocket three side flap pockets tailored cut ,"Lining: Viscose 100%

Outer: Wool 100%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/81/77/29918177_58996666_1000.jpg,New Season,Barba,Barba shirt,,,light blue front button fastening classic collar buttoned cuffs long sleeves ,Linen/Flax 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/81/51/29918151_58996502_1000.jpg, ,Briglia 1949,cotton trousers ,,,dark grey elasticated drawstring waistband two side slit pockets two rear jetted pockets tapered leg ,"Cotton 99%, Elastane 1%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/75/57/29917557_58996005_1000.jpg, ,Briglia 1949,cotton trousers ,,,ash grey front button fastening two side slit pockets two rear button-fastening jetted pockets belt loops ,"Cotton 98%, Elastane 2%",Machine Wash
https://cdn-images.farfetch-contents.com/29/91/69/84/29916984_58995921_1000.jpg, ,Briglia 1949,cotton trousers ,,,navy blue front button fastening two side slit pockets two rear jetted pockets tapered leg ,"Cotton 97%, Elastane 3%",Machine Wash
https://cdn-images.farfetch-contents.com/29/91/69/80/29916980_58995869_1000.jpg,New Season,Briglia 1949,pressed-crease trousers ,,,black front button fastening two side slit pockets two rear button-fastening jetted pockets belt loops ,"Wool 54%, Polyester 44%, Elastane 1%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/67/71/29916771_58995144_1000.jpg,New Season,Colmar,zip-up athletic jacket,,,black high collar full zip closure side pockets logo detail long sleeves ,"Polyamide 80%, Elastane 20%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/60/86/29916086_59005133_1000.jpg, ,ETRO,cotton single-breasted blazer,,,blue front button fastening chest welt pocket two side flap pockets long sleeves ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/60/82/29916082_59008802_1000.jpg, ,ETRO,Prince of Wales-checked blazer,,,orange front button fastening jetted chest pocket front flap pockets narrow notch lapels ,"Outer: Cotton 80%, Linen/Flax 10%, Polyester 10%

Lining: Viscose 100%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/56/62/29915662_59008557_1000.jpg, ,ETRO,checked trousers ,,,carrot orange front button fastening two side slit pockets belt loops tapered leg ,"Wool 80%, Cotton 20%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/56/51/29915651_59008970_1000.jpg, ,ETRO,woven blazer,,,cobalt blue front button fastening jetted chest pocket two front patch pockets notched lapels ,Fabric 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/91/14/67/29911467_59019842_1000.jpg,New Season,MC2 Saint Barth,Drink Lemon T-shirt,,,earth brown slogan print embroidered logo at the sleeve slogan print to the rear ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/90/90/36/29909036_59020468_1000.jpg,New Season,MC2 Saint Barth,Blanche T-shirt,,,white chest patch pocket embroidered logo at the sleeve graphic print at the chest ,"Cotton 100%, Polyester 100%",Machine Wash
https://cdn-images.farfetch-contents.com/29/90/01/96/29900196_58991689_1000.jpg,New Season,Studio Nicholson,logo-patch trousers,,,black concealed fly and button fastening classic five pockets belt loops ,"Regenerative Cotton 52%, Cotton 48%",Machine Wash
https://cdn-images.farfetch-contents.com/29/89/15/58/29891558_59002584_1000.jpg,New Season,Homme Plissé Issey Miyake,pleated zip-up jacket,,,olive green front zip fastening high neck long sleeves ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/15/56/29891556_58999531_1000.jpg,New Season,Homme Plissé Issey Miyake,pleated single-breasted blazer,,,light grey front button fastening classic lapels long sleeves straight hem ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/15/44/29891544_59002548_1000.jpg,New Season,Homme Plissé Issey Miyake,Windswept Plaid shorts,,,midnight blue elasticated waistband two side slit pockets plissé effect knee-length ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/15/29/29891529_59000784_1000.jpg,New Season,Homme Plissé Issey Miyake,plissé-effect shorts,,,blue-grey elasticated waistband two side slit pockets mid-rise knee-length ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/15/24/29891524_59000826_1000.jpg,New Season,Homme Plissé Issey Miyake,Windswept Plaid coat,,,light blue front zip fastening two side slit pockets plissé effect long wide sleeves ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/15/22/29891522_59001353_1000.jpg,New Season,Homme Plissé Issey Miyake,pleated zip-up jacket,,,grey front zip fastening high neck long sleeves straight hem ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/15/18/29891518_59002413_1000.jpg,New Season,Homme Plissé Issey Miyake,pleated straight-leg trousers,,,grey elasticated waistband two side slit pockets ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/09/37/29890937_58999454_1000.jpg,New Season,Homme Plissé Issey Miyake,pleated straight-leg trousers,,,black elasticated waistband two side slit pockets ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/09/24/29890924_59001950_1000.jpg,New Season,Homme Plissé Issey Miyake,pleated shirt,,,purple front button fastening classic collar short sleeves straight hem ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/09/21/29890921_59000749_1000.jpg,New Season,Homme Plissé Issey Miyake,pleated jacket,,,grey front zip fastening high neck long sleeves straight hem ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/09/19/29890919_58999400_1000.jpg,New Season,Homme Plissé Issey Miyake,pleated single-breasted blazer,,,navy blue front button fastening long sleeves straight hem ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/09/12/29890912_59002009_1000.jpg,New Season,Homme Plissé Issey Miyake,plissé-effect shorts,,,olive green elasticated waistband two side slit pockets mid-rise knee-length ,Polyester 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/01/25/29890125_59019284_1000.jpg,New Season,Carhartt WIP,Bait Shack T-shirt,,,light purple embroidered logo at the chest logo print to the rear crew neck ,Organic Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/89/00/57/29890057_59020677_1000.jpg,New Season,LUIGI BIANCHI MANTOVA,herringbone blazer,,,chestnut brown double-breasted button fastening internal pocket English rear vents chest welt pocket ,"Lining: Cotton 100%

Outer: Linen/Flax 65%, Cotton 35%",Machine Wash
https://cdn-images.farfetch-contents.com/29/88/98/21/29889821_59020545_1000.jpg,New Season,Rick Owens DRKSHDW,Trucker jacket,,,black front button fastening two chest flap pockets slip pockets to the sides buttoned cuffs ,"Lining: Polyester 52%, Organic Cotton 48%

Outer: Organic Cotton 100%",Dry Clean Only
https://cdn-images.farfetch-contents.com/18/79/17/41/18791741_40770973_1000.jpg,New Season,Golden Goose,star-print cotton T-shirt,,,black cotton jersey knit star print crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/28/54/98/34/28549834_57880469_1000.jpg,New Season,Golden Goose,jersey-texture T-shirt,,,"ecru crew neck short sleeves straight hem When buying this unisex item, keep in mind that it is graded in standard men's sizing. ","Polyester 100%, Cotton 100%",Machine Wash
https://cdn-images.farfetch-contents.com/19/15/61/80/19156180_53556419_1000.jpg,New Season,Golden Goose,logo-print cotton T-shirt,,,dust olive green cotton jersey texture distressed effect ribbed crew neck short sleeves logo print to the front logo plaque to the rear straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/56/15/85/27561585_57365858_1000.jpg,New Season,Golden Goose,graphic-print T-shirt,,,charcoal grey crew neck short sleeves logo print to the front ripped detailing ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/18/80/24/25/18802425_40851608_1000.jpg,New Season,Golden Goose,One Star-logo short-sleeve T-shirt ,,,"optical white cotton signature One Star logo round neck short sleeves straight hem When buying this unisex item, keep in mind that it is graded in standard men's sizing. ",Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/19/15/03/22/19150322_56403240_1000.jpg,New Season,Golden Goose,perforated logo-detail T-shirt ,,,anthracite grey cotton lightweight jersey distressed finish ribbed trim crew neck short sleeves logo print to the front straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/28/62/36/97/28623697_57898521_1000.jpg,New Season,Represent,printed T-shirt,,,white crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/37/16/23/27371623_57938508_1000.jpg,New Season,Jacquemus,Le Banane T-shirt,,,off-white crew neck short sleeves straight hem ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/26/43/26/38/26432638_58571922_1000.jpg,New Season,MM6 Maison Margiela X Salomon,x Salomon numbers-print jacket,,,light blue front zip fastening two side flap pockets sleeve zip pocket elasticated waistband ,Polyamide 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/25/36/89/88/25368988_57018635_1000.jpg,New Season,Palm Angels,logo-chain backpack,,,black concealed top zip fastening two padded adjustable shoulder straps single rolled top handle This piece comes complete with a protective dust bag. ,"Outer: Polyamide 100%, Bovine Leather (top grain) 100%

Lining: Cotton 100%",
https://cdn-images.farfetch-contents.com/26/81/54/29/26815429_58969010_1000.jpg,New Season,Marni,cotton T-shirt ,,,cornflower blue embroidered logo to the front round neck short sleeves straight hem ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/29/84/84/96/29848496_59001004_1000.jpg,New Season,adidas,Samba sneakers,,,brown front button fastening pull-tab at the heel round toe flat rubber sole ,"Outer: Nubuck Leather 100%

Sole: Rubber 100%

Lining: Leather 100%",
https://cdn-images.farfetch-contents.com/27/71/83/46/27718346_58899189_1000.jpg,New Season,On Running,Cloudmonster sneakers,,,light grey front lace-up fastening padded ankle signature CloudTec® cushioning chunky rubber sole ,"Lining: Fabric 100%

Sole: Rubber 100%

Outer: Fabric 100%, Polyurethane 100%",
https://cdn-images.farfetch-contents.com/22/68/61/35/22686135_53613960_1000.jpg, ,Nike,ZoomX AlphaFly 3 "Volt" sneakers,,,"fluorescent yellow Flyknit construction signature Swoosh logo detail round toe front lace-up fastening logo-embroidered tongue pull-tab at the heel branded insole ZoomX foam chunky rubber sole full-length carbon fiber Flyplate These styles are supplied by a premium and authenticated sneaker marketplace. Stocking only the most sought-after footwear, they source and curate some of the most hard to find sneakers from around the world. ","Sole: Rubber 100%

Lining: Mesh 100%

Outer: Mesh 100%",
https://cdn-images.farfetch-contents.com/29/60/86/25/29608625_58698406_1000.jpg,New Season,ASICS,Gel-Sonoma sneakers,,,light grey front lace-up fastening padded ankle signature cushioning GEL™ technology chunky rubber sole  ,"Outer: Artificial Leather 100%

Lining: Fabric 100%

Sole: Rubber 100%",
https://cdn-images.farfetch-contents.com/25/13/38/80/25133880_58349096_1000.jpg, ,Salomon,XT-6 "Yellow" sneakers,,,"light yellow drawstring fastening colour-block design logo print to the side round toe branded insole chunky rubber sole These styles are supplied by a premium and authenticated sneaker marketplace. Stocking only the most sought-after footwear, they source and curate some of the most hard to find sneakers from around the world. ","Sole: Rubber 100%

Outer: Fabric 100%, Polyurethane 100%

Lining: Fabric 100%",
https://cdn-images.farfetch-contents.com/29/81/44/20/29814420_58946337_1000.jpg,New Season,adidas,Real Madrid 99/00 T-shirt,,,white embroidered logo at the chest stripe detailing spread collar short raglan sleeves ,Recycled Polyester 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/28/30/71/76/28307176_57752146_1000.jpg,New Season,OUR LEGACY,Third Cut jeans,,,indigo blue concealed fly and button fastening belt loops classic five pockets logo patch to the rear ,"Lining: Cotton 100%

Outer: Cotton 100%",Machine Wash
https://cdn-images.farfetch-contents.com/29/75/91/69/29759169_58892242_1000.jpg,New Season,RHUDE,Heave on Earth T-shirt,,,ecru crew neck short sleeves straight hem logo print to the front ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/18/67/20/27186720_57051916_1000.jpg,Runway,AMI Paris,suede shirt jacket,,,taupe grey front button fastening signature Ami de Coeur monogram motif long sleeves buttoned cuffs ,Goat Skin 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/27/56/50/51/27565051_57369261_1000.jpg,New Season,OUR LEGACY,graphic-print shirt,,,black front button fastening chest patch pocket classic collar short sleeves ,"Linen/Flax 52%, Cotton 48%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/26/37/87/27/26378727_57664386_1000.jpg,New Season,Acne Studios,wide-leg jeans,,,indigo blue concealed front fastening belt loops classic five pockets trompe l'oeil print ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/28/86/99/17/28869917_58013978_1000.jpg,New Season,AMIRI,logo-print shirt,,,navy blue button fastening two chest flap pockets spread collar short sleeves ,Cupro 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/24/50/50/71/24505071_58100771_1000.jpg,New Season,Casablanca,graphic-print shirt  ,,,zen grey concealed front button fastening chest patch pocket camp collar short sleeves ,Silk 100%,Dry Clean Only
https://cdn-images.farfetch-contents.com/27/37/24/19/27372419_57937463_1000.jpg,New Season,Jacquemus,cotton jeans ,,,powder blue front button fastening classic five pockets belt loops tapered leg ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/25/36/89/87/25368987_57435510_1000.jpg,New Season,Palm Angels,Crystal Pin Up Shirt,,,white front button fastening logo print to the front camp collar short sleeves ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/25/47/80/94/25478094_56790010_1000.jpg,New Season,Off-White,Lea varsity jacket,,,black/white virgin wool blend leather colour-block panelled design padded design front press-stud fastening striped ribbed band collar multiple patches contrasting-fabric long sleeves signature Diag-stripe patch chenille logo patch signature Arrows motif embroidered text two side welt pockets striped ribbed cuffs and hem internal slip pocket quilted lining ,"Outer: Leather 100%,  Virgin Wool 75%,  Polyamide 25%Lining: Cotton 100%,  Polyester 100%,  Viscose 52%,  Cupro 48%",Specialist Cleaning
https://cdn-images.farfetch-contents.com/28/81/30/66/28813066_58258558_1000.jpg,New Season,SP5DER,Star Web hoodie,,,khaki graphic print to the front front pouch pocket classic hood long sleeves ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/25/36/96/16/25369616_57048118_1000.jpg,New Season,Palm Angels,Ivy Pin Up T-shirt ,,,cream white crew neck logo print to the front graphic print to the front short sleeves ,Cotton 100%,Read Manufacturer Guidelines
