product-link href,expandable-text__inner-content,product-detail-composition
https://www.zara.com/de/en/herringbone-straight-leg-jeans-p00840418.html,Straight-leg jeans with an irregular texture. Front pockets and patch pocket detail on the back. Front zip and button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/textured-knit-polo-shirt-p02142417.html,Relaxed fit knit polo shirt made of textured yarn. Lapel collar with front opening. Short sleeves. Ribbed trims.,"Composition: 84% cotton, 16% polyamide"
https://www.zara.com/de/en/double-breasted-button-blazer-p04518907.html,Relaxed fit blazer. Featuring a peak lapel collar and long sleeves finished with buttoned cuffs. Hip flap pockets and inside pocket detail. Hem with vent at the centre back. Double-breasted metal button fastening at the front.,
https://www.zara.com/de/en/100-linen-shirt-p03090123.html,Relaxed fit linen shirt. Bowling collar and short sleeves. Hem with side vents. Button fastening.,Composition: 100% linen
https://www.zara.com/de/en/crochet-textured-shirt-p03772410.html,Relaxed fit shirt made of open textured fabric. Camp collar and short sleeves. Button-up front.,"Composition: 83% cotton, 17% polyester"
https://www.zara.com/de/en/basic-slim-fit-t-shirt-p05584361.html,Slim fit T-shirt. Round neck and short sleeve.,"Composition: 95% cotton, 5% elastane"
https://www.zara.com/de/en/heavy-weight-t-shirt-p04087484.html,Relaxed fit T-shirt made of compact cotton. Featuring a round neck and short sleeves.,Composition: 100% cotton
https://www.zara.com/de/en/100-linen-shirt-p03090123.html,Relaxed fit linen shirt. Bowling collar and short sleeves. Hem with side vents. Button fastening.,Composition: 100% linen
https://www.zara.com/de/en/heavy-weight-t-shirt-p04087484.html,Relaxed fit T-shirt made of compact cotton. Featuring a round neck and short sleeves.,Composition: 100% cotton
https://www.zara.com/de/en/100-linen-shirt-p03090123.html,Relaxed fit linen shirt. Bowling collar and short sleeves. Hem with side vents. Button fastening.,Composition: 100% linen
https://www.zara.com/de/en/100-linen-shirt-p03090123.html,Relaxed fit linen shirt. Bowling collar and short sleeves. Hem with side vents. Button fastening.,Composition: 100% linen
https://www.zara.com/de/en/linen-cotton-polo-shirt-p04853411.html,Regular fit polo shirt made of linen and cotton blend fabric. Lapel collar with button-up front. Long sleeves.,"Composition: 60% linen, 40% cotton"
https://www.zara.com/de/en/100-linen-bermuda-shorts-p05070118.html,Regular fit Bermuda shorts in linen. Featuring an elasticated drawstring waistband and front pleats. Front pockets and patch pockets on the back.,Composition: 100% linen
https://www.zara.com/de/en/100-linen-bermuda-shorts-p05070118.html,Regular fit Bermuda shorts in linen. Featuring an elasticated drawstring waistband and front pleats. Front pockets and patch pockets on the back.,Composition: 100% linen
https://www.zara.com/de/en/pinstripe-suit-blazer-p04515908.html,Relaxed fit blazer. Notched lapel collar. Long sleeves with buttoned cuffs. Hip flap pockets. Inside pocket detail. Hem with vents at the back. Double-breasted front fastening.,
https://www.zara.com/de/en/pinstriped-suit-trousers-p04516908.html,Straight-leg trousers. Featuring front pockets and welt back pocket detail. Zip fly and button fastening.,"Composition: 60% polyester, 24% viscose, 14% wool, 2% elastane"
https://www.zara.com/de/en/100-linen-bermuda-shorts-p05070118.html,Regular fit Bermuda shorts in linen. Featuring an elasticated drawstring waistband and front pleats. Front pockets and patch pockets on the back.,Composition: 100% linen
https://www.zara.com/de/en/flare-fit-jeans-p05585444.html,Flare fit jeans. Five pockets. Washed effect. Uneven hem. Zip fly and button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/relaxed-fit-seersucker-trousers-p04092437.html,Relaxed fit trousers made in a fabric with stretch. Elastic waistband adjustable with drawstrings. Front pleats. Front pockets and rear welt pocket detail.,"Composition: 96% cotton, 4% elastane"
https://www.zara.com/de/en/basic-trainers-p12200520.html,Basic lace-up trainers. Plain upper. Contrast lining and insole.,
https://www.zara.com/de/en/classic-flare-fit-jeans-p00840439.html,Flare fit jeans. Five pockets. Washed effect. Raw hem. Zip fly and button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/relaxed-fit-raised-shirt-p00881412.html,"Relaxed fit shirt made from a rustic textured cotton fabric. Featuring a camp collar, short sleeves, a contrasting front appliqué tape detail, side vents at the hem and a button-up front.",Composition: 100% cotton
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,Relaxed fit Bermuda shorts made from a cotton fabric. Elasticated waistband with an adjustable inner drawstring. Front pockets and a back patch pocket.,"Composition: 98% cotton, 2% elastane"
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,Relaxed fit Bermuda shorts made from a cotton fabric. Elasticated waistband with an adjustable inner drawstring. Front pockets and a back patch pocket.,"Composition: 98% cotton, 2% elastane"
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,Relaxed fit Bermuda shorts made from a cotton fabric. Elasticated waistband with an adjustable inner drawstring. Front pockets and a back patch pocket.,"Composition: 98% cotton, 2% elastane"
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,Relaxed fit Bermuda shorts made from a cotton fabric. Elasticated waistband with an adjustable inner drawstring. Front pockets and a back patch pocket.,"Composition: 98% cotton, 2% elastane"
https://www.zara.com/de/en/100-linen-pleated-trousers-p04410234.html,Regular fit trousers made in linen fabric. Waistband with front pleat detail. Front pockets and rear welt pocket detail. Zip fly and button fastening.,Composition: 100% linen
https://www.zara.com/de/en/basic-slim-fit-t-shirt-p05584361.html,Slim fit T-shirt. Round neck and short sleeve.,"Composition: 95% cotton, 5% elastane"
https://www.zara.com/de/en/100-linen-pleated-trousers-p04410234.html,Regular fit trousers made in linen fabric. Waistband with front pleat detail. Front pockets and rear welt pocket detail. Zip fly and button fastening.,Composition: 100% linen
https://www.zara.com/de/en/textured-crochet-shirt-p07200420.html,Relaxed fit shirt made of open textured fabric. Camp collar and short sleeves. Button-up front.,"Composition: 95% polyester, 5% polyamide"
https://www.zara.com/de/en/regular-fit-cotton-jacket-p04725343.html,"Regular fit cotton jacket. Featuring a lapel collar, long sleeves with buttoned cuffs, welt pockets at the hip and a zip fastening at the front.",Composition: 100% cotton
https://www.zara.com/de/en/baggy-fit-bermuda-jorts-p04365409.html,Baggy fit denim Bermuda shorts. Five-pocket design. Faded effect. Raw hems. Zip fly and button fastening.,"Composition: 80% cotton, 20% lyocell"
https://www.zara.com/de/en/textured-crochet-shirt-p07200420.html,Relaxed fit shirt made of open textured fabric. Camp collar and short sleeves. Button-up front.,"Composition: 95% polyester, 5% polyamide"
https://www.zara.com/de/en/cotton-lyocell-pleated-trousers-p06861419.html,"Straight-leg trousers made of a cotton and lyocell blend. Featuring front pleats at the waist, front pockets, buttoned welt pockets at the back and zip fly and top button fastening.","Composition: 70% lyocell, 30% cotton"
https://www.zara.com/de/en/floral-print-shirt-p04622300.html,"Relaxed fit flowing shirt made with viscose, lyocell and 17% linen. Camp collar and short sleeves. Button-up front.","Composition: 45% viscose, 37% lyocell, 18% linen"
https://www.zara.com/de/en/regular-fit-cotton-jacket-p04725343.html,"Regular fit cotton jacket. Featuring a lapel collar, long sleeves with buttoned cuffs, welt pockets at the hip and a zip fastening at the front.",Composition: 100% cotton
https://www.zara.com/de/en/casual-leather-loafers-p12613520.html,Casual loafers. Leather upper with a split suede finish. Plain design with moc toe detail. Round toe. Contrast sole.,
https://www.zara.com/de/en/textured-jacquard-shirt-p02878310.html,Relaxed fit viscose shirt. Camp collar and short sleeves. Button-up front.,"Composition: 85% cotton, 8% viscose, 7% polyester"
https://www.zara.com/de/en/geometric-jacquard-shirt-p01618375.html,Relaxed-fit shirt made of a viscose and cotton blend. Camp collar and short sleeves. Hem with side vents. Button-up front.,"Composition: 55% viscose, 45% cotton"
https://www.zara.com/de/en/wide-fit-jogging-trousers-p00761440.html,"Wide-leg jogging trousers in a cotton fabric with a terry lining. Featuring an adjustable drawstring elasticated waistband, side pockets and a rear patch pocket.","Composition: 56% polyester, 44% cotton"
https://www.zara.com/de/en/geometric-print-jacquard-bermuda-shorts-p01618376.html,Relaxed fit Bermuda shorts made of a viscose and cotton blend fabric. Adjustable elasticated waistband with drawstring. Side pockets and rear welt pockets.,"Composition: 55% viscose, 45% cotton"
https://www.zara.com/de/en/limited-edition-suede-leather-jacket-p04416403.html,"Relaxed fit suede leather jacket with a spray-effect finish. Featuring a lapel collar, long sleeves with elasticated cuffs, concealed hip pockets in the front seam, elasticated hem and zip-up front.

This garment has a unique appearance thanks to its special finishing process. For this reason, its colour may differ slightly from that shown in the photo.

A limited edition of key pieces that redefine today's wardrobe essentials. Designed to sculpt a classic silhouette, reinterpreting archive classics from the 90s.",
https://www.zara.com/de/en/vertical-textured-polo-shirt-p00526460.html,Regular fit polo shirt. Lapel collar with front opening. Short sleeves. Ribbed hem.,
https://www.zara.com/de/en/textured-jogger-bermuda-shorts-p03992406.html,Relaxed fit Bermuda shorts. Elasticated drawstring waistband. Front pockets and a rear patch pocket.,"Composition: 56% polyester, 44% cotton"
https://www.zara.com/de/en/textured-jogger-bermuda-shorts-p03992406.html,Relaxed fit Bermuda shorts. Elasticated drawstring waistband. Front pockets and a rear patch pocket.,"Composition: 56% polyester, 44% cotton"
https://www.zara.com/de/en/pearl-knit-polo-shirt-with-zip-p03284446.html,Regular fit knitted cotton polo shirt. Lapel collar with front zip fastening. Short sleeves. Ribbed trims.,Composition: 100% cotton
https://www.zara.com/de/en/zip-up-flowing-jacket-p01437408.html,Relaxed fit jacket made of viscose blend fabric. Lapel collar and long sleeves with buttoned cuffs. Welt pockets on the hips. Elasticated hem. Zip-up fastening at the front.,
https://www.zara.com/de/en/leather-effect-overshirt-p05070308.html,"Relaxed fit overshirt in a leather effect fabric. Featuring a lapel collar, short sleeves, a chest patch pocket, side vents on the hem and a press-stud fastening on the front.",
https://www.zara.com/de/en/relaxed-fit-flowing-shirt-p07545400.html,Relaxed fit shirt made of a viscose blend. Camp collar and short sleeves. Featuring side vents at the hem and a button-up front.,"Composition: 86% viscose, 14% polyamide"
https://www.zara.com/de/en/straight-leg-denim-bermuda-shorts-p08062480.html,Straight-leg denim Bermuda shorts made from cotton denim. Five-pocket design. Washed effect. Zip fly and top button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/relaxed-fit-flowing-shirt-p07545400.html,Relaxed fit shirt made of a viscose blend. Camp collar and short sleeves. Featuring side vents at the hem and a button-up front.,"Composition: 86% viscose, 14% polyamide"
https://www.zara.com/de/en/straight-fit-jeans-with-topstitching-p07223401.html,"Straight-leg jeans in unwashed cotton denim. This gives them a stiff appearance the first few times they are worn, which will soften over time with wear.

Front pockets and patch back pockets. Contrast topstitching. Zip fly and button fastening.",Composition: 100% cotton
https://www.zara.com/de/en/straight-leg-denim-bermuda-shorts-p08062480.html,Straight-leg denim Bermuda shorts made from cotton denim. Five-pocket design. Washed effect. Zip fly and top button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/suede-leather-overshirt-p04416308.html,"Regular fit suede leather overshirt. Featuring a collar, long sleeves with buttoned cuffs, patch pockets at the hip and a button-up front.",Composition: 100% goat leather
https://www.zara.com/de/en/baggy-fit-denim-bermuda-shorts-p05585400.html,Baggy fit denim Bermuda shorts. Five-pocket design. Faded effect. Zip fly and top button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/100-linen-trousers-p01063303.html,"Regular fit linen trousers. Featuring front pleats, front pockets, buttoned rear welt pockets and zip fly and top button fastening.",Composition: 100% linen
https://www.zara.com/de/en/leather-penny-loafers-p12617520.html,Formal loafers. Leather upper. Penny strap detail on the instep. Rounded toe. Contrast sole with slight heel.,
https://www.zara.com/de/en/regular-fit-chino-trousers-p00706869.html,Regular fit trousers made of stretch cotton. Front pockets and buttoned welt back pockets. Zip fly and button fastening.,"Composition: 97% cotton, 3% elastane"
https://www.zara.com/de/en/baggy-fit-denim-bermuda-shorts-p05585400.html,Baggy fit denim Bermuda shorts. Five-pocket design. Faded effect. Zip fly and top button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/baggy-fit-denim-bermuda-shorts-p05585400.html,Baggy fit denim Bermuda shorts. Five-pocket design. Faded effect. Zip fly and top button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/slim-fit-comfort-trousers-p06861441.html,"Trousers made from highly elastic fabric. Featuring an elastic waistband, front pockets and rear welt pockets. Zip fly and top button fastening.","Composition: 64% polyester, 34% viscose, 2% elastane"
https://www.zara.com/de/en/ribbed-knit-polo-shirt-p07140410.html,Regular fit knitted cotton yarn polo shirt. Shirt collar with front button fastening and short sleeves. Ribbed trims.,Composition: 100% cotton
https://www.zara.com/de/en/ribbed-knit-polo-shirt-p07140410.html,Regular fit knitted cotton yarn polo shirt. Shirt collar with front button fastening and short sleeves. Ribbed trims.,Composition: 100% cotton
https://www.zara.com/de/en/ribbed-knit-polo-shirt-p07140410.html,Regular fit knitted cotton yarn polo shirt. Shirt collar with front button fastening and short sleeves. Ribbed trims.,Composition: 100% cotton
https://www.zara.com/de/en/baggy-fit-denim-bermuda-shorts-p04806406.html,Baggy fit denim Bermuda shorts. Five pockets. Washed effect. Zip fly and button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/regular-seersucker-swimming-trunks-p08574405.html,"Swimming trunks made from textured technical fabric. Elasticated drawstring waistband. Front pockets and rear welt pockets. Hem with side slits. Lining.

Length of inner leg seam: 11 cm. / 4.3″
Length of outer leg seam: 36 cm. / 14.1″",
https://www.zara.com/de/en/basic-long-swimming-trunks-p08574424.html,"Swimming trunks made from technical fabric with a velvety finish. Elasticated drawstring waistband. Side pockets and a back patch pocket. Lining.

Length of inner leg seam: 12 cm. / 4.7″
Length of outer leg seam: 39 cm. / 15.3″",
https://www.zara.com/de/en/regular-seersucker-swimming-trunks-p08574405.html,"Swimming trunks made from textured technical fabric. Elasticated drawstring waistband. Front pockets and rear welt pockets. Hem with side slits. Lining.

Length of inner leg seam: 11 cm. / 4.3″
Length of outer leg seam: 36 cm. / 14.1″",
https://www.zara.com/de/en/textured-polo-shirt-p04092400.html,Regular fit polo shirt. Lapel collar and front button fastening. Short sleeves.,Composition: 100% cotton
https://www.zara.com/de/en/textured-knit-polo-shirt-p03332405.html,Regular fit knitted cotton polo shirt. Shirt collar with front opening. Short sleeves. Ribbed trims.,Composition: 100% cotton
https://www.zara.com/de/en/contrast-relaxed-fit-jacket-p03286407.html,"Relaxed fit jacket made of a cotton blend fabric. Featuring a lapel collar, long sleeves, welt pockets at the hip, hem with contrast topstitched dart detail and front zip fastening.",
https://www.zara.com/de/en/textured-knit-polo-shirt-p03332405.html,Regular fit knitted cotton polo shirt. Shirt collar with front opening. Short sleeves. Ribbed trims.,Composition: 100% cotton
https://www.zara.com/de/en/linen-trousers-p04410010.html,Regular fit trousers made of linen fabric. Elastic waistband. Front pockets and rear welt pocket detail. Zip fly and top button fastening.,Composition: 100% linen
https://www.zara.com/de/en/slim-fit-jeans-p00774340.html,Faded slim fit jeans with a five-pocket design. Zip fly and button fastening.,"Composition: 98% cotton, 2% elastane"
https://www.zara.com/de/en/slim-fit-jeans-p00774340.html,Faded slim fit jeans with a five-pocket design. Zip fly and button fastening.,"Composition: 98% cotton, 2% elastane"
https://www.zara.com/de/en/100-linen-trousers-p04410010.html,Regular fit trousers made of linen fabric. Elastic waistband. Front pockets and rear welt pocket detail. Zip fly and top button fastening.,Composition: 100% linen
https://www.zara.com/de/en/knit-cotton---silk-polo-shirt-p00077412.html,Regular fit knit polo shirt made of a spun cotton and silk blend. Lapel collar with front button fastening. Short sleeves. Ribbed trims.,"Composition: 70% cotton, 30% silk (mulberry)"
https://www.zara.com/de/en/relaxed-straight-leg-jeans-p03991477.html,"Relaxed fit, straight-leg jeans in cotton denim. Five pockets. Faded effect. Button fly.",Composition: 100% cotton
https://www.zara.com/de/en/relaxed-fit-pleated-trousers-p06861554.html,Relaxed fit trousers. Waist with front pleats. Front pockets and rear welt pockets. Zip fly and top button fastening.,"Composition: 75% polyester, 19% viscose, 6% elastane"
https://www.zara.com/de/en/slim-fit-tapered-jeans-p04060475.html,Slim fit tapered jeans with five pockets. Featuring a faded effect and a zip fly with button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/boxy-fit-overshirt-p07484553.html,"Boxy fit overshirt. Featuring a lapel collar, long sleeves with buttoned cuffs, hip patch pockets and a button-up front.",
https://www.zara.com/de/en/slim-fit-tapered-jeans-p04060475.html,Slim fit tapered jeans with five pockets. Featuring a faded effect and a zip fly with button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/comfort-bermuda-shorts-p02634551.html,Bermuda shorts featuring an adjustable elasticated waistband with drawstrings. Front pleats. Front pockets and rear welt pockets. Turn-up hems.,"Composition: 74% polyester, 23% viscose, 3% elastane"
https://www.zara.com/de/en/washed-relaxed-fit-sweatshirt-p00962421.html,"Relaxed fit sweatshirt. Round neck and short sleeves. Uneven hem. Washed effect.

This garment has a unique appearance thanks to its special washing process. For this reason, its colour may vary slightly from that shown in the photo.",Composition: 100% cotton
https://www.zara.com/de/en/100-linen-shirt-p03090010.html,"Regular fit linen shirt. Featuring a lapel collar, long sleeves with buttoned cuffs and a button-up front.",Composition: 100% linen
https://www.zara.com/de/en/100-linen-shirt-p03090010.html,"Regular fit linen shirt. Featuring a lapel collar, long sleeves with buttoned cuffs and a button-up front.",Composition: 100% linen
https://www.zara.com/de/en/100-linen-shirt-p03090010.html,"Regular fit linen shirt. Featuring a lapel collar, long sleeves with buttoned cuffs and a button-up front.",Composition: 100% linen
https://www.zara.com/de/en/100-linen-shirt-p03090010.html,"Regular fit linen shirt. Featuring a lapel collar, long sleeves with buttoned cuffs and a button-up front.",Composition: 100% linen
https://www.zara.com/de/en/textured-check-shirt-p06103440.html,Relaxed fit cotton shirt. Collared with short sleeves and a button-up front.,Composition: 100% cotton
https://www.zara.com/de/en/patchwork-flare-fit-jeans-p04048434.html,Flare fit jeans. Five-pocket design. Ripped effect wash on the legs. Raw hem. Zip fly and top button fastening.,Composition: 100% cotton
https://www.zara.com/de/en/easy-care-jogger-waist-trousers-p00706870.html,"Trousers with an elastic waistband and adjustable drawstrings. Featuring side pockets, rear welt pockets and turn-up hems.","Composition: 79% polyester, 17% viscose, 4% elastane"
https://www.zara.com/de/en/textured-comfort-trousers-p00706648.html,Slim-fit trousers made of two-way stretchy fabric. Front pockets and rear welt pockets with button detail. Front zip fly and top button fastening.,"Composition: 63% polyester, 32% viscose, 5% elastane"
https://www.zara.com/de/en/straight-leg-jeans-p08062410.html,"Straight-leg jeans, slightly looser fitting than our regular straight-leg style. Five pockets. Faded effect. Button fly.",Composition: 100% cotton
https://www.zara.com/de/en/slim-fit-comfort-trousers-p06861441.html,"Trousers made from highly elastic fabric. Featuring an elastic waistband, front pockets and rear welt pockets. Zip fly and top button fastening.","Composition: 64% polyester, 34% viscose, 2% elastane"
https://www.zara.com/de/en/textured-comfort-trousers-p00706648.html,Slim-fit trousers made of two-way stretchy fabric. Front pockets and rear welt pockets with button detail. Front zip fly and top button fastening.,"Composition: 63% polyester, 32% viscose, 5% elastane"
https://www.zara.com/de/en/textured-comfort-overshirt-p04333400.html,"Relaxed fit overshirt made from stretch fabric. Featuring a collared neckline, long sleeves with buttoned cuffs, flap patch pockets on the chest and welt pockets on the hips. Button-up front.","Composition: 57% cotton, 40% polyester, 3% elastane"
